Vivec, Vivec: St. Delyn, 4, Walk SW
Vivec, Palace of Vivec, 4, Walk S
Vivec, Vivec: St. Olms, 4, Walk SE
Vivec: Hlaalu, Vivec, 4, Walk E
Vivec: Redoran, Vivec, 4, Walk SE
Palace of Vivec, Vivec, 4, Walk N
Silt Strider: Vivec, Vivec, 4, Walk S
Vivec, Vivec: Redoran, 4, Walk NW
Vivec, Vivec: Telvanni, 4, Walk E
Vivec, Silt Strider: Vivec, 4, Walk N
Vivec, Boat Transport: Vivec, 4, Walk N
Vivec, Vivec: Arena, 4, Walk NE
Vivec: Foreign Quarter, Vivec, 4, Walk S
Vivec, Vivec: Foreign Quarter, 4, Walk N
Vivec, Vivec: Hlaalu, 4, Walk W
Boat Transport: Vivec, Vivec, 4, Walk S
Vivec: Temple, Vivec, 4, Walk N
Vivec: St. Olms, Vivec, 4, Walk NW
Vivec, Vivec, 4, Walk SW
Vivec: Telvanni, Vivec, 4, Walk W
Vivec: St. Delyn, Vivec, 4, Walk NE
Vivec, Vivec: Temple, 4, Walk S
Vivec: Arena, Vivec, 4, Walk SW
Vivec, Vivec, 4, Walk NE

Thormoor's Watch, Thormoor Gray-Wave, 1.0, Walk S
Thormoor Gray-Wave, Thormoor's Watch, 1.0, Walk N
Tyermaillin's House, Rithleen's House, 2.0, Walk W
Rithleen's House, Tyermaillin's House, 2.0, Walk E
Fast Eddie's House, Itan's House, 6.082762530298219, Walk E
Itan's House, Fast Eddie's House, 6.082762530298219, Walk W
Missing Supply Ship, Apronia Alfena, 20.0, Walk S
Apronia Alfena, Missing Supply Ship, 20.0, Walk N
Balyn Omarel's House, Rarayn Radarys' House, 31.016124838541646, Walk W
Rarayn Radarys' House, Balyn Omarel's House, 31.016124838541646, Walk E
Aldi's Shack, Khuul, 49.4064773081425, Walk SW
Khuul, Aldi's Shack, 49.4064773081425, Walk NE
Tel Naga Great Hall, Tel Naga Upper Hall, 50.0, Walk SE
Tel Naga Upper Hall, Tel Naga Great Hall, 50.0, Walk NW
Census and Excise Office, Census and Excise Warehouse, 98.18350166906862, Walk SE
Census and Excise Warehouse, Census and Excise Office, 98.18350166906862, Walk NW
Nadene Rotheran's Shack, Gnaar Mok, 111.6288493177279, Walk N
Gnaar Mok, Nadene Rotheran's Shack, 111.6288493177279, Walk S
Wolverine Hall: Fighter's Guild, Wolverine Hall: Imperial Cult Shrine, 133.5065541462291, Walk S
Wolverine Hall: Imperial Cult Shrine, Wolverine Hall: Fighter's Guild, 133.5065541462291, Walk N
Hawkmoth Legion Garrison, Hawkmoth Legion, 135.14806694880988, Walk E
Hawkmoth Legion, Hawkmoth Legion Garrison, 135.14806694880988, Walk W
Chun-Ook, Boat Transport: Ebonheart, 174.62244987400675, Walk SE
Boat Transport: Ebonheart, Chun-Ook, 174.62244987400675, Walk NW
Tower Entry, Tower Living Quarters, 195.0102561405425, Walk NE
Tower Living Quarters, Tower Entry, 195.0102561405425, Walk SW
Irgola: Pawnbroker, Odairan Ashummi-Ammus' House, 207.1955597979841, Walk NW
Odairan Ashummi-Ammus' House, Irgola: Pawnbroker, 207.1955597979841, Walk SE
Curtain Wall, Fort Frostmoth, 214.55302374937528, Walk NW
Fort Frostmoth, Curtain Wall, 214.55302374937528, Walk SE
Elf-Skerring, Boat Transport: Sadrith Mora, 223.33159203301264, Walk SE
Boat Transport: Sadrith Mora, Elf-Skerring, 223.33159203301264, Walk NW
Wise Woman's Yurt, Urshilaku Camp, 230.3388807822075, Walk S
Urshilaku Camp, Wise Woman's Yurt, 230.3388807822075, Walk N
Wolverine Hall, Wolverine Hall: Imperial Cult Shrine, 232.0, Walk NE
Wolverine Hall: Imperial Cult Shrine, Wolverine Hall, 232.0, Walk SW
Tower Living Quarters, Upper Tower, 245.80073230159425, Walk NE
Upper Tower, Tower Living Quarters, 245.80073230159425, Walk SW
Prison, Interior, 248.0080643850115, Walk W
Interior, Prison, 248.0080643850115, Walk E
Ald Skar Inn, Ald'ruhn, 262.9676786222976, Walk SE
Ald'ruhn, Ald Skar Inn, 262.9676786222976, Walk NW
Hall of Processing, Gondola, 267.0599183703912, Walk E
Gondola, Hall of Processing, 267.0599183703912, Walk W
Wise Woman's Yurt, Ahemmusa Camp, 269.6312296452323, Walk E
Ahemmusa Camp, Wise Woman's Yurt, 269.6312296452323, Walk W
Communal Hut, Rotheran, 270.1184925176357, Walk NE
Rotheran, Communal Hut, 270.1184925176357, Walk SW
Helvi's Shack, Dren Plantation, 283.0688962072661, Walk SW
Dren Plantation, Helvi's Shack, 283.0688962072661, Walk NE
Wolverine Hall, Wolverine Hall: Imperial Cult Shrine, 286.77517326295873, Walk NW
Wolverine Hall: Imperial Cult Shrine, Wolverine Hall, 286.77517326295873, Walk SE
Waist North-Two, Canal North-Three, 287.3673607075097, Walk N
Canal North-Three, Waist North-Two, 287.3673607075097, Walk S
Waist North-One, Canal North-One, 291.247317584214, Walk N
Canal North-One, Waist North-One, 291.247317584214, Walk S
General Quarters, Prison, 304.16442921551493, Walk E
Prison, General Quarters, 304.16442921551493, Walk W
Karlirah's House, Vori's House, 304.54063768239536, Walk N
Vori's House, Karlirah's House, 304.54063768239536, Walk S
Southern Tower, Jail, 306.5371103145588, Walk SE
Jail, Southern Tower, 306.5371103145588, Walk NW
Waist North-One, Canal North-One, 308.60978597575286, Walk NW
Canal North-One, Waist North-One, 308.60978597575286, Walk SE
Lower Waistworks, Upper Waistworks, 310.84562084739105, Walk SE
Upper Waistworks, Lower Waistworks, 310.84562084739105, Walk NW
Southern Tower, Aryon's Chambers, 315.9810120877519, Walk NE
Aryon's Chambers, Southern Tower, 315.9810120877519, Walk SW
Canal South-One, Waist South-One, 320.4325201973108, Walk NE
Waist South-One, Canal South-One, 320.4325201973108, Walk SW
Upper Waistworks, Lower Waistworks, 321.5960198758685, Walk S
Lower Waistworks, Upper Waistworks, 321.5960198758685, Walk N
Upper Waistworks, Lower Waistworks, 322.0, Walk N
Lower Waistworks, Upper Waistworks, 322.0, Walk S
Grand Council Chambers Tower, Grand Council Chambers, 323.5938812771342, Walk SW
Grand Council Chambers, Grand Council Chambers Tower, 323.5938812771342, Walk NE
Tower, Castle Karstaag, 328.39762483915746, Walk SW
Castle Karstaag, Tower, 328.39762483915746, Walk NE
Codus Callonus: Bookseller, Daynes Redothril: Pawnbroker, 329.02887411289606, Walk N
Daynes Redothril: Pawnbroker, Codus Callonus: Bookseller, 329.02887411289606, Walk S
Runethyne Andas's Farmhouse, Thilse Aralas's Farmhouse, 331.42118218363777, Walk SE
Thilse Aralas's Farmhouse, Runethyne Andas's Farmhouse, 331.42118218363777, Walk NW
Waist South-Two, Canal South-Two, 333.16962646675944, Walk SE
Canal South-Two, Waist South-Two, 333.16962646675944, Walk NW
Hrothmund's Barrow, Snow Wolf, 335.9121909070881, Walk SE
Snow Wolf, Hrothmund's Barrow, 335.9121909070881, Walk NW
Lower Waistworks, Upper Waistworks, 337.5574025258519, Walk NE
Upper Waistworks, Lower Waistworks, 337.5574025258519, Walk SW
Waist South-Two, Canal South-Three, 340.3307215048327, Walk SE
Canal South-Three, Waist South-Two, 340.3307215048327, Walk NW
Dralcea Arethi's House, Nine Toes' House, 341.29898915760066, Walk NW
Nine Toes' House, Dralcea Arethi's House, 341.29898915760066, Walk SE
Hlaalu Plaza, Vivec: Hlaalu, 342.11255457816804, Walk E
Vivec: Hlaalu, Hlaalu Plaza, 342.11255457816804, Walk W
Prison Towers, Interior, 343.0714211355997, Walk N
Interior, Prison Towers, 343.0714211355997, Walk S
Upper Level, Falasmaryon, 343.4719784785944, Walk S
Falasmaryon, Upper Level, 343.4719784785944, Walk N
Waist North-Two, Canal North-Three, 347.2002304146701, Walk NW
Canal North-Three, Waist North-Two, 347.2002304146701, Walk SE
South Wall, Fort Pelagiad, 352.0, Walk E
Fort Pelagiad, South Wall, 352.0, Walk W
Lower Waistworks, Upper Waistworks, 363.8969634388284, Walk SW
Upper Waistworks, Lower Waistworks, 363.8969634388284, Walk NE
Tower Guardpost, Lower Tower, 364.5490364820623, Walk E
Lower Tower, Tower Guardpost, 364.5490364820623, Walk W
Hawkmoth Legion Garrison, Hawkmoth Legion, 368.00135869314397, Walk S
Hawkmoth Legion, Hawkmoth Legion Garrison, 368.00135869314397, Walk N
Jolda: Apothecary, Tel Mora, 369.89187609354167, Walk E
Tel Mora, Jolda: Apothecary, 369.89187609354167, Walk W
Tel Naga Upper Tower, Tel Naga Upper Hall, 375.22526567383494, Walk W
Tel Naga Upper Hall, Tel Naga Upper Tower, 375.22526567383494, Walk E
Waist South-One, Canal South-Three, 380.12761015216984, Walk SW
